idVenta,fecha,idCliente,nombreCliente,cantidadProductos,totalVentas
1001,2024-03-18,C030,Eduardo Freeman,1,99.0
1002,2024-01-27,C047,Paula Vivas,7,1049.93
1003,2024-03-06,C030,Eduardo Freeman,10,1699.9
1004,2024-03-10,C043,Raquel Martín,3,897.0
1005,2024-02-24,C040,Joseph Edwards,6,95.94
1006,2024-01-13,C024,Paul Carter,6,239.94
1007,2024-01-06,C037,Cecilia Díaz,7,104.93
1008,2024-03-09,C026,Aaron Stewart,4,102.0
1009,2024-01-27,C001,Ana Martínez,2,198.0
1010,2024-01-18,C039,Valeria Vidal,3,44.97
1011,2024-01-21,C023,Sofía Aguilar,9,359.91
1012,2024-02-15,C033,Melissa Woods,5,99.94999999999999
1013,2024-02-09,C038,Tom Sanders,6,95.94
1014,2024-01-10,C044,Chris Butler,6,215.94
1015,2024-03-24,C019,Karina Vega,10,255.0
1016,2024-03-19,C019,Karina Vega,2,29.98
1017,2024-03-22,C031,Nuria Sandoval,9,112.5
1018,2024-03-30,C021,Adriana Román,8,1439.92
1019,2024-02-07,C022,David Miller,9,89.91
1020,2024-01-15,C015,Sonia Reyes,6,89.94
1021,2024-03-15,C038,Tom Sanders,1,15.99
1022,2024-01-15,C033,Melissa Woods,3,29.97
1023,2024-03-16,C027,Lorena Ramos,1,299.0
1024,2024-01-13,C049,Rebeca Ponce,7,419.93
1025,2024-03-31,C026,Aaron Stewart,1,19.99
1026,2024-02-23,C002,John Smith,4,59.96
1027,2024-02-29,C025,Elena Torres,9,179.91
1028,2024-02-29,C044,Chris Butler,3,509.97
1029,2024-02-22,C038,Tom Sanders,10,159.9
1030,2024-01-18,C012,Michael Davis,10,599.9
1031,2024-01-19,C050,Miguel Cook,6,899.94
1032,2024-03-04,C028,Arthur Wright,10,990.0
1033,2024-03-23,C042,Ethan Perry,4,679.96
1034,2024-01-20,C020,Henry Phillips,7,139.92999999999998
1035,2024-03-03,C015,Sonia Reyes,6,1499.94
1036,2024-03-30,C041,Elisa Méndez,6,1794.0
1037,2024-01-04,C049,Rebeca Ponce,10,599.9
1038,2024-02-21,C005,Diana Palacios,2,799.98
1039,2024-01-07,C014,Daniel Walker,8,1999.92
1040,2024-03-19,C029,Beatriz Delgado,5,1999.95
1041,2024-03-19,C002,John Smith,3,47.97
1042,2024-01-21,C037,Cecilia Díaz,4,3196.0
1043,2024-03-27,C023,Sofía Aguilar,3,749.97
1044,2024-01-22,C046,Louis Kelly,6,59.94
1045,2024-03-13,C046,Louis Kelly,5,299.95
1046,2024-02-23,C007,Karen Soto,5,199.95000000000002
1047,2024-01-01,C007,Karen Soto,6,75.0
